Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,522,268,1,0,1,0,2,0,1,795
Baja California,1 061,879,69,9,0,0,21,6,195,2 240
Baja California Sur,597,36,49,0,0,0,2,0,0,684
Campeche,702,68,35,77,0,17,1,0,63,963
Coahuila,976,470,74,290,2,0,5,0,374,2 191
Colima,387,106,8,0,0,0,0,5,0,506
Chiapas,1 820,35,33,1 377,0,10,18,1,21,3 315
Chihuahua,2 583,480,91,290,0,0,13,0,190,3 647
Distrito Federal,13 924,1 015,849,0,14,144,97,14,117,16 174
Durango,2 270,171,62,259,2,0,0,0,0,2 764
Guanajuato,5 348,1 091,104,0,0,51,7,0,78,6 679
Guerrero,3 310,624,112,8,0,0,17,6,1,4 078
Hidalgo,4 187,92,59,337,42,45,0,0,17,4 779
Jalisco,3 683,2 661,55,1,0,1,7,0,451,6 859
MÃ©xico,16 989,873,244,7,155,0,68,0,636,18 972
MichoacÃ¡n,3 659,249,80,695,0,0,3,6,0,4 692
Morelos,1 569,176,63,0,0,0,0,0,0,1 808
Nayarit,587,95,31,144,3,0,1,0,23,884
Nuevo LeÃ_n,2 494,664,25,0,0,42,5,0,1 507,4 737
Oaxaca,2 120,224,152,2 546,1,59,32,23,36,5 193
Puebla,8 380,785,118,793,1,19,5,0,407,10 508
QuerÃ©taro,949,476,62,0,0,0,0,0,0,1 487
Quintana Roo,1 190,478,54,0,0,0,2,0,0,1 724
San Luis PotosÃ_,2 296,398,53,746,0,3,3,0,24,3 523
Sinaloa,1 018,166,79,276,11,1,15,5,301,1 872
Sonora,2 459,355,60,0,0,0,14,3,205,3 096
Tabasco,1 436,7,21,0,0,60,1,0,51,1 576
Tamaulipas,2 412,269,91,363,9,93,16,3,40,3 296
Tlaxcala,1 440,127,21,1,0,0,1,0,0,1 590
Veracruz,6 473,527,119,1 423,0,229,12,14,0,8 797
YucatÃ¡n,1 855,225,69,782,5,0,13,2,9,2 960
Zacatecas,796,74,18,319,1,0,11,0,0,1 219
TOTAL GLOBAL,99 492,14 164,2 961,10 743,247,774,392,88,4 747,133 608
