Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,502,271,0,N.A.,0,N.A.,1,N.A.,3,777
Baja California,935,706,33,22,N.A.,N.A.,10,5,185,1 896
Baja California Sur,580,34,56,N.A.,N.A.,N.A.,3,1,N.A.,674
Campeche,552,50,46,113,0,31,2,1,68,863
Coahuila,928,730,73,252,3,N.A.,15,N.A.,229,2 230
Colima,306,111,17,N.A.,0,N.A.,1,7,0,442
Chiapas,1 435,17,69,649,N.A.,23,17,0,13,2 223
Chihuahua,2 233,150,51,280,N.A.,N.A.,4,N.A.,284,3 002
Distrito Federal,12 382,461,799,3,14,129,75,20,139,14 022
Durango,2 163,139,56,311,0,N.A.,3,N.A.,3,2 675
Guanajuato,4 605,859,77,0,N.A.,54,2,N.A.,92,5 689
Guerrero,2 878,783,74,1,N.A.,N.A.,12,0,0,3 748
Hidalgo,3 544,129,54,297,65,30,0,N.A.,19,4 138
Jalisco,3 558,1 591,68,2,0,0,3,0,539,5 761
Mí©xico,14 190,602,193,0,199,N.A.,54,N.A.,614,15 852
Michoacíçn,3 159,237,62,781,N.A.,N.A.,3,2,N.A.,4 244
Morelos,1 516,171,45,2,N.A.,N.A.,4,N.A.,N.A.,1 738
Nayarit,689,144,33,153,9,N.A.,0,1,20,1 049
Nuevo Leí_n,2 254,551,17,0,0,31,0,N.A.,1 210,4 063
Oaxaca,1 782,189,149,2 235,2,50,9,26,19,4 461
Puebla,7 249,668,99,780,0,15,12,N.A.,422,9 245
Querí©taro,740,409,65,0,2,N.A.,N.A.,N.A.,5,1 221
Quintana Roo,1 025,392,64,N.A.,N.A.,N.A.,1,2,N.A.,1 484
San Luis Potosí_,2 478,543,51,665,N.A.,4,0,N.A.,8,3 749
Sinaloa,861,176,93,293,5,0,10,7,223,1 668
Sonora,2 340,270,47,1,N.A.,N.A.,16,2,247,2 923
Tabasco,1 136,14,17,N.A.,N.A.,127,0,0,63,1 357
Tamaulipas,2 181,284,107,331,13,76,31,2,43,3 068
Tlaxcala,1 296,107,8,2,0,N.A.,2,N.A.,0,1 415
Veracruz,5 504,476,76,1 212,1,232,6,27,N.A.,7 534
Yucatíçn,1 563,194,30,579,2,N.A.,10,3,3,2 384
Zacatecas,810,79,24,321,0,N.A.,1,N.A.,2,1 237
TOTAL GLOBAL,87 374,11 537,2 653,9 285,315,802,307,106,4 453,116 832
