Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,538,212,0,0,0,0,0,0,0,750
Baja California,998,396,39,29,0,0,12,1,92,1567
Baja California Sur,498,43,79,0,0,0,12,0,0,632
Campeche,784,0,21,49,0,11,3,8,63,939
Coahuila,884,387,27,237,0,0,13,0,429,1977
Colima,455,145,11,0,1,0,2,8,2,624
Chiapas,2002,57,57,728,0,9,40,0,25,2918
Chihuahua,3018,688,50,289,0,0,0,0,407,4452
Distrito Federal,17134,1026,950,0,12,120,79,31,69,19421
Durango,2241,34,67,316,0,0,13,0,0,2671
Guanajuato,4930,884,123,0,0,41,8,0,13,5999
Guerrero,3843,454,155,0,0,0,29,6,0,4487
Hidalgo,4416,95,74,339,64,55,3,0,30,5076
Jalisco,4325,2325,36,0,8,1,15,3,1234,7947
México,17385,850,271,0,284,2,99,0,665,19556
Michoacán,3451,190,108,676,0,0,0,11,0,4436
Morelos,1882,211,132,0,0,0,0,0,0,2225
Nayarit,585,133,52,157,1,0,0,0,16,944
Nuevo León,1881,894,34,0,1,46,2,0,1416,4274
Oaxaca,2267,130,138,1790,4,56,31,23,26,4465
Puebla,8701,1004,138,898,1,17,17,0,285,11061
Querétaro ,1032,641,87,0,0,0,0,0,1,1761
Quintana Roo,1226,532,59,0,0,0,5,10,0,1832
San Luis Potosí,2929,664,90,644,0,1,5,0,36,4369
Sinaloa,868,114,91,243,36,0,7,11,305,1675
Sonora,382,699,36,0,0,0,2,0,45,1164
Tabasco,1611,2,23,0,0,34,0,7,100,1777
Tamaulipas,2061,235,59,728,0,89,15,0,138,3325
Tlaxcala,1809,206,18,0,0,0,1,0,0,2034
Veracruz,6611,708,66,676,3,214,7,36,0,8321
Yucatán,1644,264,87,610,6,0,7,0,3,2621
Zacatecas,653,156,14,434,2,0,4,0,0,1263
TOTAL GLOBAL,103044,14379,3192,8843,423,696,431,155,5400,136563
