Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,785,480,41,S.R.,0,S.R.,0,S.R.,37,1 343
Baja California,953,888,63,75,S.R.,S.R.,7,4,135,2 125
Baja California Sur,779,88,131,S.R.,S.R.,S.R.,3,1,S.R.,1 002
Campeche,426,65,45,104,0,41,3,5,26,715
Coahuila,1 262,718,63,279,5,S.R.,17,S.R.,734,3 078
Colima,330,298,14,S.R.,0,S.R.,2,11,31,686
Chiapas,1 285,126,92,494,S.R.,22,0,5,13,2 037
Chihuahua,1 723,877,92,341,S.R.,S.R.,10,S.R.,361,3 404
Distrito Federal,9 692,1 210,672,4,9,139,64,39,249,12 078
Durango,1 825,190,21,293,0,S.R.,2,0,2,2 333
Guanajuato,5 164,941,102,1,S.R.,54,12,S.R.,76,6 350
Guerrero,2 435,706,186,4,S.R.,S.R.,23,7,0,3 361
Hidalgo,3 100,143,22,394,45,36,0,S.R.,14,3 754
Jalisco,3 885,2 055,55,3,0,1,5,0,1 205,7 209
MÃ©xico,13 954,1 336,248,73,364,S.R.,117,S.R.,594,16 686
MichoacÃ¡n,2 695,798,81,986,S.R.,S.R.,2,13,S.R.,4 575
Morelos,1 229,76,29,3,S.R.,S.R.,2,S.R.,S.R.,1 339
Nayarit,538,192,47,294,3,S.R.,0,2,4,1 080
Nuevo LeÃ_n,3 401,946,31,0,S.R.,44,6,S.R.,397,4 825
Oaxaca,1 331,156,135,2 663,2,54,1,17,63,4 422
Puebla,4 834,632,122,820,0,23,2,S.R.,353,6 786
QuerÃ©taro,1 121,384,92,0,13,S.R.,2,S.R.,16,1 628
Quintana Roo,775,747,152,S.R.,S.R.,S.R.,6,0,23,1 703
San Luis PotosÃ_,2 810,749,107,855,S.R.,8,0,S.R.,3,4 532
Sinaloa,1 184,316,80,275,12,1,1,6,333,2 208
Sonora,2 493,542,39,1,S.R.,S.R.,3,1,512,3 591
Tabasco,710,34,19,S.R.,S.R.,141,0,0,49,953
Tamaulipas,2 375,371,10,269,5,176,5,4,116,3 331
Tlaxcala,815,78,35,1,0,S.R.,4,S.R.,0,933
Veracruz,3 999,400,97,1 689,3,296,14,7,7,6 512
YucatÃ¡n,1 312,198,32,746,3,S.R.,9,0,14,2 314
Zacatecas,765,119,30,394,0,S.R.,0,S.R.,10,1 318
TOTAL GLOBAL,79 985,16 859,2 985,11 061,464,1 036,322,122,5 377,118 211
