Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,672,434,22,S.R.,0,S.R.,1,S.R.,21,1 150
Baja California,977,850,45,57,S.R.,S.R.,6,5,155,2 095
Baja California Sur,547,51,79,S.R.,S.R.,S.R.,3,1,S.R.,681
Campeche,490,140,35,117,0,13,4,8,46,853
Coahuila,998,785,52,223,0,S.R.,12,S.R.,505,2 575
Colima,365,253,17,S.R.,0,S.R.,0,13,18,666
Chiapas,1 261,95,63,439,S.R.,31,5,3,10,1 907
Chihuahua,1 746,1 053,94,273,S.R.,S.R.,6,S.R.,352,3 524
Distrito Federal,9 473,768,834,2,5,161,76,10,182,11 511
Durango,1 675,216,37,250,0,S.R.,3,S.R.,0,2 181
Guanajuato,4 794,558,87,0,S.R.,65,10,S.R.,38,5 552
Guerrero,1 998,693,223,2,S.R.,S.R.,13,13,0,2 942
Hidalgo,2 917,143,32,329,50,39,0,S.R.,20,3 530
Jalisco,3 924,1 897,68,0,1,1,8,1,1 077,6 977
MÃ©xico,12 093,1 068,164,15,378,S.R.,68,S.R.,601,14 387
MichoacÃ¡n,2 491,742,71,946,S.R.,S.R.,0,7,S.R.,4 257
Morelos,1 242,187,31,0,S.R.,S.R.,2,S.R.,S.R.,1 462
Nayarit,606,172,39,337,5,S.R.,0,3,5,1 167
Nuevo LeÃ_n,2 843,1 128,21,0,S.R.,48,0,S.R.,820,4 860
Oaxaca,1 526,103,159,2 476,1,63,24,21,36,4 409
Puebla,4 755,669,110,751,10,17,1,S.R.,383,6 696
QuerÃ©taro,789,397,75,2,0,S.R.,0,S.R.,14,1 277
Quintana Roo,793,558,132,S.R.,S.R.,S.R.,6,0,7,1 496
San Luis PotosÃ_,2 586,639,85,752,S.R.,10,0,S.R.,34,4 106
Sinaloa,1 148,296,103,240,7,1,4,16,266,2 081
Sonora,2 550,447,34,0,S.R.,S.R.,6,9,377,3 423
Tabasco,767,33,17,S.R.,S.R.,130,5,2,42,996
Tamaulipas,1 971,366,3,282,1,144,2,17,3,2 789
Tlaxcala,786,98,28,0,0,S.R.,1,S.R.,0,913
Veracruz,3 457,463,112,1 518,5,278,12,27,3,5 875
YucatÃ¡n,1 488,307,93,653,0,S.R.,9,0,25,2 575
Zacatecas,624,112,22,402,0,S.R.,5,S.R.,16,1 181
TOTAL GLOBAL,74 352,15 721,2 987,10 066,463,1 001,292,156,5 056,110 094
