Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,311,158,0,0,1,0,2,0,1,473
Baja California,563,497,41,6,0,0,12,1,110,1 230
Baja California Sur,363,21,28,0,0,0,2,0,0,414
Campeche,376,35,19,39,0,13,0,0,35,517
Coahuila,567,306,40,172,1,0,4,0,223,1 313
Colima,216,64,7,0,0,0,0,4,0,291
Chiapas,1 009,18,19,663,0,6,10,0,13,1 738
Chihuahua,1 558,290,57,165,0,0,12,0,119,2 201
Distrito Federal,8 152,572,449,0,10,82,58,7,72,9 402
Durango,1 374,113,38,149,1,0,0,0,0,1 675
Guanajuato,2 975,660,59,0,0,23,3,0,50,3 770
Guerrero,1 736,352,64,2,0,0,10,3,1,2 168
Hidalgo,2 269,56,32,190,29,22,0,0,13,2 611
Jalisco,2 246,1 662,30,0,0,0,5,0,283,4 226
MÃ©xico,9 234,495,113,4,73,0,47,0,390,10 356
MichoacÃ¡n,2 052,162,37,360,0,0,3,5,0,2 619
Morelos,841,107,31,0,0,0,0,0,0,979
Nayarit,336,55,16,76,1,0,1,0,16,501
Nuevo LeÃ_n,1 419,417,10,0,0,22,4,0,833,2 705
Oaxaca,1 131,128,79,1 267,0,35,12,11,19,2 682
Puebla,4 554,473,66,405,1,7,3,0,207,5 716
QuerÃ©taro,528,286,34,0,0,0,0,0,0,848
Quintana Roo,674,284,31,0,0,0,1,0,0,990
San Luis PotosÃ_,1 292,229,26,404,0,1,1,0,9,1 962
Sinaloa,528,85,42,147,5,1,12,3,172,995
Sonora,1 464,204,30,0,0,0,10,3,119,1 830
Tabasco,828,6,13,0,0,39,1,0,37,924
Tamaulipas,1 260,134,38,178,4,43,12,2,18,1 689
Tlaxcala,732,79,10,0,0,0,1,0,0,822
Veracruz,3 364,302,61,731,0,125,6,6,0,4 595
YucatÃ¡n,1 045,117,46,436,2,0,6,0,3,1 655
Zacatecas,508,44,10,173,0,0,10,0,0,745
TOTAL GLOBAL,55 505,8 411,1 576,5 567,128,419,248,45,2 743,74 642
