Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,303,172,27,S.R.,0,S.R.,0,S.R.,20,522
Baja California,398,388,30,27,S.R.,S.R.,4,1,55,903
Baja California Su,335,46,56,S.R.,S.R.,S.R.,3,0,S.R.,440
Campeche,182,29,21,44,0,12,0,3,7,298
Coahuila,546,280,27,120,1,S.R.,2,S.R.,299,1 275
Colima,127,128,7,S.R.,0,S.R.,0,4,14,280
Chiapas,628,52,37,217,S.R.,9,0,3,4,950
Chihuahua,725,359,48,142,S.R.,S.R.,4,S.R.,153,1 431
Distrito Federal,4 219,556,348,1,7,77,25,22,125,5 380
Durango,711,79,11,132,0,S.R.,0,0,1,934
Guanajuato,2 114,388,57,1,S.R.,25,2,S.R.,36,2 623
Guerrero,1 221,322,81,2,S.R.,S.R.,11,3,0,1 640
Hidalgo,1 451,66,9,198,14,13,0,S.R.,5,1 756
Jalisco,1 589,849,25,2,0,1,4,0,493,2 963
MÃ©xico,6 386,621,126,45,184,S.R.,36,S.R.,242,7 640
MichoacÃ¡n,1 311,342,37,432,S.R.,S.R.,0,9,S.R.,2 131
Morelos,515,36,18,1,S.R.,S.R.,1,S.R.,S.R.,571
Nayarit,229,78,19,129,0,S.R.,0,0,2,457
Nuevo LeÃ_n,1 447,400,14,0,S.R.,16,2,S.R.,183,2 062
Oaxaca,662,72,74,1 375,1,21,0,9,30,2 244
Puebla,2 238,272,62,419,0,6,1,S.R.,187,3 185
QuerÃ©taro,462,149,52,0,5,S.R.,2,S.R.,5,675
Quintana Roo,329,309,62,S.R.,S.R.,S.R.,1,0,12,713
San Luis PotosÃ_,1 272,311,49,418,S.R.,4,0,S.R.,2,2 056
Sinaloa,540,160,32,124,5,1,0,4,136,1 002
Sonora,1 030,224,20,0,S.R.,S.R.,1,0,266,1 541
Tabasco,274,17,11,S.R.,S.R.,65,0,0,26,393
Tamaulipas,1 115,170,2,117,3,83,2,1,49,1 542
Tlaxcala,409,32,21,0,0,S.R.,1,S.R.,0,463
Veracruz,1 924,177,42,813,2,137,8,3,2,3 108
YucatÃ¡n,595,78,16,334,1,S.R.,2,0,9,1 035
Zacatecas,324,45,15,158,0,S.R.,0,S.R.,8,550
TOTAL GLOBAL,35 611,7 207,1 456,5 251,223,470,112,62,2 371,52 763
