Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,482,308,14,S.R.,0,S.R.,0,S.R.,17,821
Baja California,555,500,33,48,S.R.,S.R.,3,3,80,1 222
Baja California Sur,444,42,75,S.R.,S.R.,S.R.,0,1,S.R.,562
Campeche,244,36,24,60,0,29,3,2,19,417
Coahuila,716,438,36,159,4,S.R.,15,S.R.,435,1 803
Colima,203,170,7,S.R.,0,S.R.,2,7,17,406
Chiapas,657,74,55,277,S.R.,13,0,2,9,1 087
Chihuahua,998,518,44,199,S.R.,S.R.,6,S.R.,208,1 973
Distrito Federal,5 473,654,324,3,2,62,39,17,124,6 698
Durango,1 114,111,10,161,0,S.R.,2,0,1,1 399
Guanajuato,3 050,553,45,0,S.R.,29,10,S.R.,40,3 727
Guerrero,1 214,384,105,2,S.R.,S.R.,12,4,0,1 721
Hidalgo,1 649,77,13,196,31,23,0,S.R.,9,1 998
Jalisco,2 296,1 206,30,1,0,0,1,0,712,4 246
MÃ©xico,7 568,715,122,28,180,S.R.,81,S.R.,352,9 046
MichoacÃ¡n,1 384,456,44,554,S.R.,S.R.,2,4,S.R.,2 444
Morelos,714,40,11,2,S.R.,S.R.,1,S.R.,S.R.,768
Nayarit,309,114,28,165,3,S.R.,0,2,2,623
Nuevo LeÃ_n,1 954,546,17,0,S.R.,28,4,S.R.,214,2 763
Oaxaca,669,84,61,1 288,1,33,1,8,33,2 178
Puebla,2 596,360,60,401,0,17,1,S.R.,166,3 601
QuerÃ©taro,659,235,40,0,8,S.R.,0,S.R.,11,953
Quintana Roo,446,438,90,S.R.,S.R.,S.R.,5,0,11,990
San Luis PotosÃ_,1 538,438,58,437,S.R.,4,0,S.R.,1,2 476
Sinaloa,644,156,48,151,7,0,1,2,197,1 206
Sonora,1 463,318,19,1,S.R.,S.R.,2,1,246,2 050
Tabasco,436,17,8,S.R.,S.R.,76,0,0,23,560
Tamaulipas,1 260,201,8,152,2,93,3,3,67,1 789
Tlaxcala,406,46,14,1,0,S.R.,3,S.R.,0,470
Veracruz,2 075,223,55,876,1,159,6,4,5,3 404
YucatÃ¡n,717,120,16,412,2,S.R.,7,0,5,1 279
Zacatecas,441,74,15,236,0,S.R.,0,S.R.,2,768
TOTAL GLOBAL,44 374,9 652,1 529,5 810,241,566,210,60,3 006,65 448
