Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,207,88,2,0,0,0,0,0,0,297
Baja California,410,259,16,8,0,0,4,5,130,832
Baja California Sur,215,3,39,0,0,0,2,0,0,259
Campeche,334,22,19,43,0,1,3,2,23,447
Coahuila,377,87,22,95,0,0,1,0,177,759
Colima,225,58,6,0,0,0,1,3,1,294
Chiapas,884,31,22,367,0,1,13,0,6,1 324
Chihuahua,1 170,121,15,126,0,0,1,0,177,1 610
Distrito Federal,6 647,488,461,0,11,82,32,11,23,7 755
Durango,934,34,18,116,0,0,1,0,0,1 103
Guanajuato,2 243,293,56,2,0,21,1,0,34,2 650
Guerrero,1 643,220,62,7,0,0,3,3,0,1 938
Hidalgo,1 906,63,27,154,7,16,0,0,12,2 185
Jalisco,1 491,819,9,0,0,1,7,1,436,2 764
México,7 428,274,120,1,86,0,21,0,241,8 171
Michoacán,1 569,105,47,307,0,0,0,5,0,2 033
Morelos,792,86,60,5,0,0,0,0,0,943
Nayarit,259,44,22,68,0,0,0,0,15,408
Nuevo León,852,309,11,0,0,20,1,0,685,1 878
Oaxaca,1 009,50,65,1 109,1,19,7,10,21,2 291
Puebla,3 976,408,51,425,2,2,0,0,132,4 996
Querétaro,428,178,30,0,0,0,0,0,1,637
Quintana Roo,518,143,28,0,0,0,0,1,0,690
San Luis Potosí,1 163,208,36,321,0,15,7,0,22,1 772
Sinaloa,463,71,29,119,10,0,3,5,176,876
Sonora,609,166,0,0,0,0,0,0,44,819
Tabasco,666,14,15,0,0,19,1,0,31,746
Tamaulipas,1 039,132,40,156,6,43,3,2,9,1 430
Tlaxcala,739,83,16,0,0,0,2,0,0,840
Veracruz,3 047,213,38,594,3,94,6,3,0,3 998
Yucatán,816,87,40,368,2,0,7,0,2,1 322
Zacatecas,342,37,14,139,2,0,2,0,0,536
TOTAL GLOBAL,44 401,5 194,1 436,4 530,130,334,129,51,2 398,58 603
