Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,365,168,0,0,0,0,1,0,2,536
Baja California,445,301,22,8,0,0,17,2,105,900
Baja California Sur,319,22,48,0,0,0,6,0,0,395
Campeche,444,25,20,66,0,1,0,3,37,596
Coahuila,534,162,38,126,1,0,7,0,206,1 074
Colima,274,74,6,0,0,0,2,13,3,372
Chiapas,1 002,44,21,454,0,15,20,0,5,1 561
Chihuahua,1 746,159,20,212,0,0,4,0,262,2 403
Distrito Federal,9 223,579,546,0,6,86,37,12,54,10 543
Durango,1 440,42,38,169,0,0,2,0,0,1 691
Guanajuato,2 783,452,41,0,0,36,7,0,33,3 352
Guerrero,1 848,322,85,9,0,0,3,7,0,2 274
Hidalgo,2 149,69,34,194,25,23,0,0,18,2 512
Jalisco,2 306,1 419,15,0,1,0,12,1,570,4 324
MÃ©xico,9 223,453,120,0,99,0,40,0,344,10 279
MichoacÃ¡n,1 975,147,48,355,0,0,0,3,0,2 528
Morelos,929,135,65,0,0,0,0,0,0,1 129
Nayarit,360,74,17,83,0,0,0,0,16,550
Nuevo LeÃ_n,1 105,375,12,0,2,16,2,0,898,2 410
Oaxaca,1 090,86,53,1 013,0,30,12,15,18,2 317
Puebla,4 750,531,87,470,0,5,5,0,179,6 027
QuerÃ©taro,509,238,25,0,0,0,0,0,3,775
Quintana Roo,774,243,35,0,0,0,0,2,0,1 054
San Luis PotosÃ_,1 519,286,22,388,0,8,6,0,31,2 260
Sinaloa,579,69,37,173,19,0,2,5,210,1 094
Sonora,814,252,0,0,0,0,0,0,39,1 105
Tabasco,782,18,16,0,0,18,1,1,39,875
Tamaulipas,1 244,187,50,220,4,39,6,2,11,1 763
Tlaxcala,907,117,8,0,0,0,1,0,0,1 033
Veracruz,3 235,351,48,600,2,113,4,5,0,4 358
YucatÃ¡n,1 114,94,42,393,1,0,8,0,2,1 654
Zacatecas,505,63,18,196,0,0,3,0,0,785
TOTAL GLOBAL,56 292,7 557,1 637,5 129,160,390,208,71,3 085,74 529
