Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,593,217,1,N.A.,0,N.A.,1,N.A.,15,827
Baja California,1 051,762,64,47,N.A.,N.A.,15,3,236,2 178
Baja California Sur,506,82,65,N.A.,N.A.,N.A.,7,4,N.A.,664
Campeche,579,32,61,89,2,29,0,3,76,871
Coahuila,878,749,65,251,1,N.A.,9,N.A.,173,2 126
Colima,342,124,22,N.A.,0,N.A.,3,4,22,517
Chiapas,1 400,34,58,578,N.A.,25,14,2,14,2 125
Chihuahua,2 219,1 362,106,308,N.A.,N.A.,4,N.A.,307,4 306
Distrito Federal,11 388,452,835,0,8,130,56,28,190,13 087
Durango,1 832,80,25,286,0,N.A.,0,N.A.,1,2 224
Guanajuato,4 413,704,77,3,N.A.,60,7,N.A.,82,5 346
Guerrero,2 815,531,200,3,N.A.,N.A.,1,0,N.A.,3 550
Hidalgo,3 502,108,61,289,41,34,0,N.A.,14,4 049
Jalisco,3 721,1 618,62,1,0,0,2,2,568,5 974
MÃ©xico,13 904,591,305,0,266,N.A.,66,N.A.,423,15 555
MichoacÃ¡n,2 850,535,59,731,N.A.,N.A.,1,5,N.A.,4 181
Morelos,1 422,188,16,1,N.A.,N.A.,0,N.A.,N.A.,1 627
Nayarit,651,150,52,174,9,N.A.,0,0,5,1 041
Nuevo LeÃ_n,2 349,650,13,0,N.A.,25,4,N.A.,1 034,4 075
Oaxaca,2 167,110,116,2 008,1,78,2,30,15,4 527
Puebla,6 693,671,91,660,0,24,9,N.A.,411,8 559
QuerÃ©taro,759,463,66,0,0,N.A.,0,N.A.,3,1 291
Quintana Roo,1 011,367,64,N.A.,N.A.,N.A.,0,1,N.A.,1 443
San Luis PotosÃ_,2 456,549,60,767,N.A.,0,0,N.A.,6,3 838
Sinaloa,967,172,87,299,12,0,7,7,269,1 820
Sonora,2 522,345,48,1,N.A.,N.A.,7,1,258,3 182
Tabasco,1 009,20,17,N.A.,N.A.,131,1,0,58,1 236
Tamaulipas,2 057,204,68,259,7,199,8,0,19,2 821
Tlaxcala,1 171,86,25,0,0,N.A.,0,N.A.,0,1 282
Veracruz,4 990,541,100,1 026,3,258,1,16,N.A.,6 935
YucatÃ¡n,1 407,243,31,575,2,N.A.,6,2,10,2 276
Zacatecas,626,122,29,314,0,N.A.,1,N.A.,4,1 096
TOTAL GLOBAL,84 250,12 862,2 949,8 670,352,993,232,108,4 213,114 629
