Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,662,215,11,S/R,0,S/R,3,S/R,20,911
Baja California,843,837,69,43,S/R,S/R,5,12,121,1 930
Baja California Sur,424,43,83,S/R,S/R,S/R,1,0,S/R,551
Campeche,454,107,40,91,0,5,1,2,77,777
Coahuila,1 017,848,62,292,0,S/R,8,S/R,448,2 675
Colima,362,180,14,S/R,0,S/R,0,12,14,582
Chiapas,1 119,83,86,471,S/R,16,11,0,13,1 799
Chihuahua,1 792,1 235,64,264,S/R,S/R,3,S/R,340,3 698
Distrito Federal,8 951,459,844,0,11,116,80,19,113,10 593
Durango,1 535,81,29,247,0,S/R,3,S/R,0,1 895
Guanajuato,4 293,453,69,0,S/R,58,2,S/R,68,4 943
Guerrero,2 624,765,276,3,S/R,S/R,6,12,7,3 693
Hidalgo,2 720,82,29,292,35,33,0,S/R,20,3 211
Jalisco,3 676,1 616,53,0,0,0,3,3,845,6 196
MÃ©xico,11 857,696,217,7,249,S/R,81,S/R,431,13 538
MichoacÃ¡n,2 231,555,78,826,S/R,S/R,1,6,S/R,3 697
Morelos,1 321,168,27,4,S/R,S/R,2,S/R,S/R,1 522
Nayarit,545,158,39,179,13,S/R,0,0,4,938
Nuevo LeÃ_n,2 843,858,16,0,S/R,44,4,S/R,886,4 651
Oaxaca,1 556,90,129,2 206,1,47,11,6,19,4 065
Puebla,4 785,519,151,855,0,12,8,S/R,336,6 666
QuerÃ©taro,671,382,71,1,0,S/R,0,S/R,6,1 131
Quintana Roo,826,486,83,S/R,S/R,S/R,4,0,S/R,1 399
San Luis PotosÃ_,2 305,530,80,724,S/R,3,0,S/R,7,3 649
Sinaloa,789,216,73,211,5,0,1,5,221,1 521
Sonora,2 481,316,46,2,S/R,S/R,7,66,454,3 372
Tabasco,824,25,8,S/R,S/R,115,0,1,69,1 042
Tamaulipas,1 814,263,21,285,1,152,4,1,6,2 547
Tlaxcala,911,69,73,2,0,S/R,2,S/R,0,1 057
Veracruz,3 600,554,113,1 004,3,250,13,26,0,5 563
YucatÃ¡n,1 385,275,44,599,0,S/R,8,0,22,2 333
Zacatecas,686,103,23,336,0,S/R,5,S/R,10,1 163
TOTAL GLOBAL,71 902,13 267,3 021,8 944,318,851,277,171,4 557,103 308
