Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,197,77,0,0,0,0,0,0,0,274
Baja California,434,179,20,13,0,0,3,0,46,695
Baja California Sur,178,16,35,0,0,0,9,0,0,238
Campeche,342,0,13,19,0,3,0,3,21,401
Coahuila,348,143,9,109,0,0,5,0,168,782
Colima,188,66,2,0,0,0,0,4,2,262
Chiapas,940,25,26,337,0,2,16,0,15,1361
Chihuahua,1248,277,26,122,0,0,0,0,159,1832
Distrito Federal,7174,437,434,0,7,63,22,10,24,8171
Durango,883,15,33,141,0,0,6,0,0,1078
Guanajuato,2154,359,62,0,0,15,4,0,4,2598
Guerrero,1799,201,74,0,0,0,16,2,0,2092
Hidalgo,1991,30,51,150,15,25,0,0,14,2276
Jalisco,1658,838,13,0,1,0,6,1,478,2995
MÃ©xico,7795,339,116,0,161,0,35,0,261,8707
Michoacán,1519,76,52,325,0,0,0,3,0,1975
Morelos,805,92,62,0,0,0,0,0,0,959
Nayarit,248,50,26,69,0,0,0,0,7,400
Nuevo León,797,333,16,0,0,18,0,0,568,1732
Oaxaca,1121,50,83,922,1,24,12,12,16,2241
Puebla,3984,448,68,426,0,3,13,0,128,5070
Querétaro,458,245,43,0,0,0,0,0,1,747
Quintana Roo,499,198,19,0,0,0,1,2,0,719
San Luis Potosí,1284,272,37,309,0,1,2,0,18,1923
Sinaloa,388,40,43,99,14,0,2,4,129,719
Sonora,162,294,16,0,0,0,0,0,18,490
Tabasco,717,1,9,0,0,8,0,3,45,783
Tamaulipas,991,88,29,442,0,44,8,0,62,1664
Tlaxcala,863,92,10,0,0,0,0,0,0,965
Veracruz,3111,272,38,347,2,88,1,20,0,3879
Yucatán,675,113,34,260,4,0,3,0,1,1090
Zacatecas,270,65,7,203,1,0,2,0,0,548
TOTAL GLOBAL,45221,5731,1506,4293,206,294,166,64,2185,59666
