Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,372,124,0,N.A.,0,N.A.,1,N.A.,7,504
Baja California,589,456,40,21,N.A.,N.A.,11,2,129,1 248
Baja California Sur,302,46,36,N.A.,N.A.,N.A.,6,1,N.A.,391
Campeche,308,19,31,53,2,22,0,3,52,490
Coahuila,496,431,31,127,0,N.A.,4,N.A.,110,1 199
Colima,206,74,13,N.A.,0,N.A.,3,2,12,310
Chiapas,798,16,33,303,N.A.,11,10,1,3,1 175
Chihuahua,1 301,714,61,183,N.A.,N.A.,3,N.A.,195,2 457
Distrito Federal,6 424,248,427,0,3,50,35,15,102,7 304
Durango,1 119,44,12,167,0,N.A.,0,N.A.,1,1 343
Guanajuato,2 512,423,50,1,N.A.,34,6,N.A.,51,3 077
Guerrero,1 548,270,100,2,N.A.,N.A.,0,0,N.A.,1 920
Hidalgo,1 852,74,37,150,23,18,0,N.A.,7,2 161
Jalisco,2 223,997,35,1,0,0,2,1,362,3 621
MÃ©xico,7 579,331,167,0,154,N.A.,55,N.A.,258,8 544
MichoacÃ¡n,1 630,294,38,405,N.A.,N.A.,1,4,N.A.,2 372
Morelos,783,104,9,0,N.A.,N.A.,0,N.A.,N.A.,896
Nayarit,370,92,18,100,5,N.A.,0,0,0,585
Nuevo LeÃ_n,1 374,379,5,0,N.A.,9,3,N.A.,543,2 313
Oaxaca,1 134,56,56,933,1,41,1,19,9,2 250
Puebla,3 511,381,48,330,0,14,4,N.A.,211,4 499
QuerÃ©taro,417,264,32,0,0,N.A.,0,N.A.,2,715
Quintana Roo,594,223,30,N.A.,N.A.,N.A.,0,0,N.A.,847
San Luis PotosÃ_,1 360,308,24,425,N.A.,0,0,N.A.,4,2 121
Sinaloa,549,88,46,179,5,0,4,6,167,1 044
Sonora,1 448,209,30,0,N.A.,N.A.,4,0,149,1 840
Tabasco,557,11,7,N.A.,N.A.,80,1,0,33,689
Tamaulipas,1 097,106,32,147,4,95,4,0,12,1 497
Tlaxcala,648,46,12,0,0,N.A.,0,N.A.,0,706
Veracruz,2 663,288,44,532,1,143,1,10,N.A.,3 682
YucatÃ¡n,761,142,18,327,1,N.A.,3,1,4,1 257
Zacatecas,370,75,18,186,0,N.A.,1,N.A.,3,653
TOTAL GLOBAL,46 895,7 333,1 540,4 572,199,517,163,65,2 426,63 710
