Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras,Total
Aguascalientes,304,50,21,S.R.,0,S.R.,0,S.R.,27,40
Baja California,372,33,30,31,S.R.,S.R.,7,0,62,53
Baja California Sur,193,41,33,S.R.,S.R.,S.R.,4,0,S.R.,27
Campeche,193,32,11,61,0,21,0,5,10,33
Coahuila,555,8,40,156,1,S.R.,5,S.R.,170,93
Colima,131,56,13,S.R.,0,S.R.,0,4,8,21
Chiapas,526,35,23,197,S.R.,7,0,1,13,80
Chihuahua,535,261,33,143,S.R.,S.R.,4,S.R.,156,1 13
Distrito Federal,4 280,250,512,1,6,44,13,11,124,5 24
Durango,738,7,9,141,0,S.R.,S.R.,0,1,89
Guanajuato,2 059,137,52,0,S.R.,33,7,S.R.,82,2 37
Guerrero,889,43,75,10,S.R.,S.R.,11,2,0,1 03
Hidalgo,1 474,43,23,146,14,8,0,S.R.,10,1 71
Jalisco,1 547,456,30,0,0,1,1,0,374,2 40
MÃ©xico,6 768,132,101,33,163,S.R.,35,S.R.,278,7 51
MichoacÃ¡n,1 225,250,33,378,S.R.,S.R.,0,0,S.R.,1 88
Morelos,510,1,33,2,S.R.,S.R.,0,S.R.,S.R.,54
Nayarit,245,29,26,118,0,S.R.,0,1,0,41
Nuevo LeÃ_n,1 215,69,27,0,S.R.,17,0,S.R.,217,1 54
Oaxaca,579,97,90,1 154,0,25,11,8,31,1 99
Puebla,1 808,67,69,383,0,8,5,S.R.,129,2 46
QuerÃ©taro,489,81,56,0,3,S.R.,0,S.R.,24,65
Quintana Roo,596,129,91,S.R.,S.R.,S.R.,0,1,1,81
San Luis PotosÃ_,1 148,137,52,366,S.R.,2,0,S.R.,5,1 71
Sinaloa,393,62,33,109,2,0,2,2,145,74
Sonora,940,84,14,0,S.R.,S.R.,3,3,274,1 31
Tabasco,272,0,9,S.R.,S.R.,68,1,0,17,36
Tamaulipas,1 043,38,15,114,1,93,4,8,33,1 34
Tlaxcala,440,5,8,0,0,S.R.,0,S.R.,0,45
Veracruz,1 964,68,47,736,0,173,8,8,3,3 00
YucatÃ¡n,649,29,26,369,0,S.R.,1,0,2,1 07
Zacatecas,331,3,24,184,0,S.R.,1,S.R.,54,59
TOTAL GLOBAL,34 411,2 733,1 659,4 832,190,500,123,54,2 250,46 75
